index,timestamp,metric_value,checks
228563,629.0,2982.293733,1.0
228577,629.0,1523.13934,1.0
228591,629.0,3170.48915,1.0
228605,629.0,3028.724721,1.0
228619,629.0,1590.079781,1.0
228633,629.0,1520.340587,1.0
228647,629.0,1600.907885,1.0
228661,629.0,2872.906113,1.0
228675,629.0,1507.073179,1.0
228689,629.0,1475.268746,1.0
228703,629.0,1508.305157,1.0
228717,629.0,3036.656851,1.0
228731,629.0,2882.258571,1.0
228745,629.0,1571.054588,1.0
228759,629.0,1433.703149,1.0
228773,629.0,3128.266113,1.0
228787,629.0,1605.535524,1.0
228801,629.0,1835.143261,1.0
228815,629.0,3090.051907,1.0
228829,630.0,1515.6607,1.0
228843,630.0,2839.030039,1.0
228857,630.0,2916.509842,1.0
228871,630.0,2777.347099,1.0
228887,630.0,2904.186529,1.0
228901,630.0,2965.990281,1.0
228915,630.0,1453.807232,1.0
228929,630.0,1551.412462,1.0
228943,630.0,3061.499835,1.0
228957,630.0,1494.064798,1.0
228971,630.0,1454.769945,1.0
228985,630.0,1468.319735,1.0
228999,630.0,3059.230563,1.0
229013,630.0,2893.949544,1.0
229027,630.0,3201.383006,1.0
229041,630.0,1460.250946,1.0
229055,630.0,3069.071006,1.0
229069,630.0,3269.682477,1.0
229083,630.0,1519.077716,1.0
229097,630.0,1467.952658,1.0
229111,630.0,1357.603114,1.0
229125,630.0,1474.003743,1.0
229139,630.0,2990.765496,1.0
229153,631.0,2991.36224,1.0
229167,631.0,1514.315492,1.0
229181,631.0,1532.276449,1.0
229197,631.0,1429.488322,1.0
229211,631.0,2907.41815,1.0
229225,631.0,1529.791578,1.0
229239,631.0,2899.682403,1.0
229253,631.0,3008.966291,1.0
229267,631.0,2957.455913,1.0
229281,631.0,1600.69428,1.0
229295,631.0,1496.7738,1.0
229309,631.0,2864.982197,1.0
229323,631.0,1431.758146,1.0
229337,631.0,1630.514802,1.0
229351,631.0,3002.804421,1.0
229365,631.0,1557.508463,1.0
229379,631.0,2978.505609,1.0
229393,631.0,2917.300472,1.0
229407,631.0,2939.853252,1.0
229421,631.0,3058.989728,1.0
229435,631.0,1441.633774,1.0
229449,631.0,1705.94239,1.0
229463,631.0,2928.378397,1.0
229477,631.0,1500.02551,1.0
229491,631.0,3182.307642,1.0
229505,631.0,3035.239803,1.0
229519,631.0,2966.485554,1.0
229533,631.0,3191.529799,1.0
229547,631.0,2997.428785,1.0
229561,631.0,1461.791512,1.0
229575,631.0,1552.923836,1.0
229589,632.0,3039.044651,1.0
229605,632.0,2832.169422,1.0
229619,632.0,1538.543906,1.0
229633,632.0,1613.958062,1.0
229647,632.0,1492.798368,1.0
229661,632.0,1560.642683,1.0
229675,632.0,2821.515483,1.0
229689,632.0,3183.883897,1.0
229703,632.0,3011.644111,1.0
229717,632.0,3078.958615,1.0
229731,632.0,1635.44584,1.0
229745,632.0,2843.144785,1.0
229759,632.0,2918.968077,1.0
229773,632.0,1715.034973,1.0
229787,632.0,2917.693051,1.0
229801,632.0,1587.019972,1.0
229815,632.0,1670.774589,1.0
229829,632.0,1684.164496,1.0
229843,632.0,1615.798675,1.0
229857,632.0,1580.34159,1.0
229871,632.0,1558.468253,1.0
229885,632.0,3061.166015,1.0
229899,632.0,1625.047124,1.0
229913,632.0,2910.214176,1.0
229927,632.0,1584.292552,1.0
229941,633.0,3054.91221,1.0
229955,633.0,3039.488103,1.0
229969,633.0,1635.886804,1.0
229985,633.0,3042.716761,1.0
229999,633.0,2948.803677,1.0
230013,633.0,1588.171605,1.0
230027,633.0,1645.697472,1.0
230041,633.0,2938.563669,1.0
230055,633.0,3221.257555,1.0
230069,633.0,2901.166289,1.0
230083,633.0,1545.773663,1.0
230097,633.0,1719.044744,1.0
230111,633.0,2898.899849,1.0
230125,633.0,3023.252072,1.0
230139,633.0,3026.025512,1.0
230153,633.0,1668.594757,1.0
230167,633.0,2969.56519,1.0
230181,633.0,1636.705577,1.0
230195,633.0,1564.375046,1.0
230209,633.0,1672.005253,1.0
230223,633.0,2999.89601,1.0
230237,633.0,1390.355607,1.0
230251,634.0,1752.729123,1.0
230265,634.0,1503.207617,1.0
230279,634.0,1352.695704,1.0
230293,634.0,3003.862539,1.0
230309,634.0,2919.294116,1.0
230323,634.0,2982.568775,1.0
230337,634.0,3125.475369,1.0
230351,634.0,1551.749124,1.0
230365,634.0,1547.604833,1.0
230379,634.0,1527.3438,1.0
230393,634.0,1421.45205,1.0
230407,634.0,1480.489,1.0
230421,634.0,3144.847675,1.0
230435,634.0,3208.003409,1.0
230449,634.0,1550.371614,1.0
230463,634.0,1481.666968,1.0
230477,634.0,3059.059784,1.0
230491,634.0,3036.151241,1.0
230505,634.0,3055.284261,1.0
230519,634.0,2837.757128,1.0
230533,634.0,2962.388412,1.0
230547,634.0,3091.278864,1.0
230561,634.0,1661.174086,1.0
230575,634.0,1472.356974,1.0
230589,634.0,2931.620296,1.0
230603,634.0,3240.406176,1.0
230617,634.0,2939.122331,1.0
230631,634.0,1581.864489,1.0
230645,634.0,2987.533424,1.0
230659,634.0,2889.182804,1.0
230673,635.0,3119.351563,1.0
230687,635.0,1545.633888,1.0
230703,635.0,3118.752627,1.0
230717,635.0,3048.672136,1.0
230731,635.0,1799.209502,1.0
230745,635.0,1556.501041,1.0
230759,635.0,1717.714909,1.0
230773,635.0,3051.835064,1.0
230787,635.0,3024.138927,1.0
230801,635.0,1619.996642,1.0
230815,635.0,3020.835106,1.0
230829,635.0,1692.663802,1.0
230843,635.0,2976.586186,1.0
230857,635.0,1589.569172,1.0
230871,635.0,3060.040344,1.0
230885,635.0,1615.380587,1.0
230899,635.0,1604.642682,1.0
230913,635.0,1600.387336,1.0
230927,635.0,3155.647657,1.0
230941,635.0,1501.308269,1.0
230955,635.0,1435.916526,1.0
230969,635.0,1564.237276,1.0
230983,635.0,1603.894339,1.0
230997,635.0,1646.199362,1.0
231011,636.0,3103.880528,1.0
231025,636.0,1763.081666,1.0
231039,636.0,3175.560687,1.0
231053,636.0,1662.036592,1.0
231069,636.0,3074.032402,1.0
231083,636.0,1947.846149,1.0
231097,636.0,3109.698027,1.0
231111,636.0,3259.570718,1.0
231125,636.0,1490.025648,1.0
231139,636.0,1580.286347,1.0
231153,636.0,3312.57432,1.0
231167,636.0,1654.93314,1.0
231181,636.0,3156.117957,1.0
231195,636.0,3244.231427,1.0
231209,636.0,1591.793676,1.0
231223,636.0,3140.741618,1.0
231237,636.0,3219.20784,1.0
231251,636.0,3139.900584,1.0
231265,636.0,1485.697355,1.0
231279,636.0,3258.403899,1.0
231293,636.0,3248.055763,1.0
231307,636.0,1621.692367,1.0
231321,637.0,3119.347243,1.0
231335,637.0,1686.722692,1.0
231349,637.0,1630.551468,1.0
231363,637.0,3044.46205,1.0
231379,637.0,1516.294471,1.0
231393,637.0,1502.996658,1.0
231407,637.0,1581.314083,1.0
231421,637.0,1657.66315,1.0
231435,637.0,1573.780953,1.0
231449,637.0,3091.965012,1.0
231463,637.0,2966.024763,1.0
231477,637.0,1554.140676,1.0
231491,637.0,3060.513327,1.0
231505,637.0,1698.267053,1.0
231519,637.0,1605.148955,1.0
231533,637.0,3245.637523,1.0
231547,637.0,3050.464336,1.0
231561,637.0,1686.313167,1.0
231575,637.0,1687.221465,1.0
231589,637.0,3096.279708,1.0
231603,637.0,1558.192974,1.0
231617,637.0,2964.032988,1.0
231631,637.0,2968.845972,1.0
231645,637.0,1605.580721,1.0
231659,637.0,1573.551528,1.0
231673,637.0,2969.167183,1.0
231687,637.0,3337.62625,1.0
231701,637.0,1547.00023,1.0
231715,637.0,3033.658613,1.0
231729,637.0,1550.131056,1.0
231743,637.0,3010.715481,1.0
231757,637.0,3243.608662,1.0
231771,638.0,3198.033007,1.0
231787,638.0,1506.354777,1.0
231801,638.0,3233.661017,1.0
231815,638.0,1670.150125,1.0
231829,638.0,3227.331192,1.0
231843,638.0,2968.842703,1.0
231857,638.0,3054.653533,1.0
231871,638.0,1573.146022,1.0
231885,638.0,1618.973876,1.0
231899,638.0,3039.755085,1.0
231913,638.0,1480.411422,1.0
231927,638.0,3224.022867,1.0
231941,638.0,3218.585253,1.0
231955,638.0,1490.161879,1.0
231969,638.0,1595.757955,1.0
231983,638.0,3233.955285,1.0
231997,638.0,1597.035722,1.0
232011,638.0,3180.244711,1.0
232025,638.0,1577.602363,1.0
232039,638.0,1641.511071,1.0
232053,638.0,1773.440841,1.0
232067,639.0,3234.486309,1.0
232081,639.0,2936.233531,1.0
232095,639.0,1634.33041,1.0
232109,639.0,1541.596194,1.0
232125,639.0,1601.085324,1.0
232139,639.0,1534.786228,1.0
232153,639.0,2936.719039,1.0
232167,639.0,3123.326798,1.0
232181,639.0,2922.811481,1.0
232195,639.0,1606.108081,1.0
232209,639.0,1566.789567,1.0
232223,639.0,1659.108868,1.0
232237,639.0,2970.026003,1.0
232251,639.0,1569.799394,1.0
232265,639.0,3101.909784,1.0
232279,639.0,2837.160944,1.0
232293,639.0,1671.319197,1.0
232307,639.0,2935.512431,1.0
232321,639.0,1643.895421,1.0
232335,639.0,2698.46293,1.0
232349,639.0,3041.403283,1.0
232363,639.0,2896.371215,1.0
232377,639.0,1557.086155,1.0
232391,639.0,2998.545213,1.0
232405,639.0,2906.847018,1.0
232419,639.0,1611.200038,1.0
232433,639.0,1491.642451,1.0
232447,640.0,3012.999849,1.0
232461,640.0,2989.275075,1.0
232475,640.0,1536.176127,1.0
232491,640.0,1539.964813,1.0
232505,640.0,1489.960924,1.0
232519,640.0,1505.301848,1.0
232533,640.0,1437.558443,1.0
232547,640.0,2877.790604,1.0
232561,640.0,1494.371553,1.0
232575,640.0,2860.484429,1.0
232589,640.0,1580.194666,1.0
232603,640.0,3099.567648,1.0
232617,640.0,1632.161505,1.0
232631,640.0,2871.301705,1.0
232645,640.0,1426.823965,1.0
232659,640.0,3034.888638,1.0
232673,640.0,2873.213986,1.0
232687,640.0,2775.157866,1.0
232701,640.0,1595.508314,1.0
232715,640.0,1567.215096,1.0
232729,640.0,2829.542194,1.0
232743,640.0,3163.871022,1.0
232757,640.0,3088.934589,1.0
232771,640.0,2724.379498,1.0
232785,640.0,1760.857725,1.0
232799,640.0,1547.298257,1.0
232813,640.0,1610.693643,1.0
232827,640.0,1560.630213,1.0
232841,640.0,3144.587836,1.0
232855,640.0,1608.006867,1.0
232869,641.0,3085.237104,1.0
232883,641.0,3084.474149,1.0
232897,641.0,1571.743325,1.0
232911,641.0,1564.125435,1.0
232927,641.0,2990.728775,1.0
232941,641.0,2902.91454,1.0
232955,641.0,3016.032926,1.0
232969,641.0,2955.769926,1.0
232983,641.0,1559.633469,1.0
232997,641.0,1571.864158,1.0
233011,641.0,2826.663593,1.0
233025,641.0,1587.352811,1.0
233039,641.0,2929.048441,1.0
233053,641.0,1486.007521,1.0
233067,641.0,1504.144719,1.0
233081,641.0,3130.892698,1.0
233095,641.0,1631.231655,1.0
233109,641.0,1589.551964,1.0
233123,641.0,3057.892564,1.0
233137,641.0,3097.782912,1.0
233151,641.0,2726.552865,1.0
233165,641.0,2674.060584,1.0
233179,641.0,1592.1168,1.0
233193,641.0,1717.896535,1.0
233207,641.0,2907.43688,1.0
233221,641.0,1587.363814,1.0
233235,642.0,2968.999937,1.0
233249,642.0,1522.77028,1.0
233263,642.0,1624.361847,1.0
233277,642.0,3025.238575,1.0
233293,642.0,2828.529879,1.0
233307,642.0,2898.511078,1.0
233321,642.0,1566.731322,1.0
233335,642.0,1621.745163,1.0
233349,642.0,1567.292069,1.0
233363,642.0,2899.701031,1.0
233377,642.0,1613.745764,1.0
233391,642.0,1600.68105,1.0
233405,642.0,1643.067803,1.0
233419,642.0,3035.959427,1.0
233433,642.0,2894.356327,1.0
233447,642.0,3065.69992,1.0
233461,642.0,1747.881436,1.0
233475,642.0,1636.185842,1.0
233489,642.0,3172.653922,1.0
233503,642.0,3120.123413,1.0
233517,642.0,3039.042803,1.0
233531,642.0,1822.045364,1.0
233545,642.0,1676.572764,1.0
233559,643.0,1609.990833,1.0
233573,643.0,2984.537336,1.0
